,artist,song
0,Roberta Flack,Oasis
1,Karyn White,Superwoman
2,New Edition,Can You Stand the Rain
3,Vanessa Williams,Dreamin'
4,LeVert,Just Coolin'
5,Teddy Riley,My Fantasy
6,Maze,Can't Get Over You
7,Soul II Soul,Back to Life (However Do You Want Me)
8,Surface,You Are My Everything
9,Jermaine Jackson,Don't Take It Personal
10,Stephanie Mills,Home
11,Luther Vandross,Here and Now
12,Miki Howard,Ain't Nuthin' in the World
13,The Gap Band,All of My Love
14,Babyface,Tender Lover
15,Michael Jackson,The Way You Make Me Feel
16,Gladys Knight & the Pips,Love Overboard
17,Keith Sweat,I Want Her
18,Pebbles,Girlfriend
19,Stevie Wonder,You Will Know
20,Morris Day,Fishnet
21,Michael Jackson,Man in the Mirror
22,Terence Trent D'Arby,Wishing Well
23,Teena Marie,Ooo La La La
24,Billy Ocean,"Get Outta My Dreams, Get into My Car"
25,E.U.,Da Butt
26,Al B. Sure!,Nite and Day
27,Pebbles,Mercedes Boy
28,Johnny Kemp,Just Got Paid
29,Tony! Toni! Toné!,Little Walter
30,George Michael,One More Try
31,Teddy Pendergrass,Joy
32,Sade,Paradise
33,The Mac Band,Roses Are Red
34,Bobby Brown,Don't Be Cruel
35,Al B. Sure!,Off on Your Own (Girl)
36,Rick James,Loosey's Rap
37,Freddie Jackson,Nice 'N' Slow
38,Michael Jackson,Another Part of Me
39,Jeffrey Osborne,She's On the Left
40,LeVert,Addicted to You
41,Bobby Brown,My Prerogative
42,Karyn White,The Way You Love Me
43,Luther Vandross,Any Love
44,Anita  Baker,Giving You the Best That I Got
45,Cheryl Pepsii Riley,Thanks for My Child
46,Freddie Jackson,Hey Lover
47,The Boys,Dial My Heart
48,Cherrelle,Everything I Miss at Home
49,Ziggy Marley and the Melody Makers,Tumblin' Down
50,Roberta Flack,Oasis
51,Karyn White,Superwoman
52,New Edition,Can You Stand the Rain
53,Vanessa Williams,Dreamin'
54,LeVert,Just Coolin'
55,Teddy Riley,My Fantasy
56,Maze,Can't Get Over You
57,Soul II Soul,Back to Life (However Do You Want Me)
58,Surface,You Are My Everything
59,Jermaine Jackson,Don't Take It Personal
60,Stephanie Mills,Home
61,Luther Vandross,Here and Now
62,Miki Howard,Ain't Nuthin' in the World
63,The Gap Band,All of My Love
64,Babyface,Tender Lover
65,Roberta Flack,Oasis
66,Karyn White,Superwoman
67,New Edition,Can You Stand the Rain
68,Vanessa Williams,Dreamin'
69,LeVert,Just Coolin'
70,Teddy Riley,My Fantasy
71,Maze,Can't Get Over You
72,Soul II Soul,Back to Life (However Do You Want Me)
73,Surface,You Are My Everything
74,Jermaine Jackson,Don't Take It Personal
75,Stephanie Mills,Home
76,Luther Vandross,Here and Now
77,Miki Howard,Ain't Nuthin' in the World
78,The Gap Band,All of My Love
79,Babyface,Tender Lover
80,Roberta Flack,Oasis
81,Karyn White,Superwoman
82,New Edition,Can You Stand the Rain
83,Vanessa Williams,Dreamin'
84,LeVert,Just Coolin'
85,Teddy Riley,My Fantasy
86,Maze,Can't Get Over You
87,Soul II Soul,Back to Life (However Do You Want Me)
88,Surface,You Are My Everything
89,Jermaine Jackson,Don't Take It Personal
90,Stephanie Mills,Home
91,Luther Vandross,Here and Now
92,Miki Howard,Ain't Nuthin' in the World
93,The Gap Band,All of My Love
94,Babyface,Tender Lover
